Genotype,Envir,Row,Column,silking,R,C,silking_spats_residuals,silking_spats_geno_pred_values,silking_spats_adj_pheno
UH_P089,Gai12R_block_32,17,27,81.6621384111,17,27,2.05695902818887,79.2510608234138,81.3080198516026
11430,Ner12R_block_35,12,9,70.1020957105,12,9,-1.2902398686806,77.8383559121768,76.5481160434962
A374,Ner12R_block_35,36,10,77.1954860675,36,10,-0.344484213833198,78.7841115670241,78.4396273531909
B113,Ner12R_block_35,24,8,83.5272539732,24,8,0.586926571703586,79.7155223525607,80.3024489242643
F04702,Ner12R_block_35,12,13,74.2429872652,12,13,-1.35221471489409,77.7763810659635,76.4241663510694
F05404,Ner12R_block_35,36,13,77.1954860675,36,13,-0.822192097936934,78.3064036829204,77.4842115849835
F752,Ner12R_block_35,24,10,78.5924166874,24,10,0.335717781521538,79.4643135623787,79.8000313439002
F98902,Ner12R_block_35,24,12,72.7618835003,24,12,-2.46626535334659,76.662330427511,74.1960650741645
LH145,Ner12R_block_35,12,8,74.2429872652,12,8,-0.0906117755391165,79.0379840053181,78.9473722297789
LH38,Ner12R_block_35,12,12,71.3778600686,12,12,-0.721499435285196,78.4070963455721,77.6855969102869
LH60,Ner12R_block_35,12,14,86.3933925839,12,14,1.78476019588437,80.9133559767414,82.6981161726257
Lo1016,Ner12R_block_35,24,9,80.8764113743,24,9,0.497844754580186,79.6264405354374,80.1242852900176
Lo1280,Ner12R_block_35,24,14,83.5272539732,24,14,-1.25276981367554,77.8758259671819,76.6230561535064
Lo1301,Ner12R_block_35,12,10,74.2429872652,12,10,1.38738530874318,80.5159810896003,81.9033663983435
N22,Ner12R_block_35,36,9,80.8764113743,36,9,0.133443710268821,79.2620394911259,79.3954832013947
N6,Ner12R_block_35,36,12,80.8764113743,36,12,2.32695048184064,81.4555462626975,83.7824967445382
NC290,Ner12R_block_35,24,13,83.5272539732,24,13,1.26509942226612,80.3936952031232,81.6587946253893
NC358,Ner12R_block_35,36,14,84.9612950321,36,14,0.877706132851458,80.0063019137086,80.88400804656
PHJ40,Ner12R_block_35,36,11,70.1020957105,36,11,-2.98136708535009,76.1472286955075,73.1658616101574
UH_P115,Ner12R_block_35,12,11,70.1020957105,12,11,-0.527522782387507,78.6010729984698,78.0735502160823
Wf9,Ner12R_block_35,24,11,82.1461213448,24,11,2.65333278126914,81.7819285621259,84.435261343395
11430,Ner12R_block_6,14,20,74.2429872652,14,20,-0.701869096315718,74.9309103562831,74.2290412599674
EC169,Ner12R_block_6,2,16,70.1020957105,2,16,-0.760190034854958,74.8725894177438,74.1123993828889
EC242C,Ner12R_block_6,26,21,70.1020957105,26,21,-2.70714905575643,72.9256303968422,70.2184813410857
EP51,Ner12R_block_6,26,18,83.5272539732,26,18,1.98872890996554,77.6215083625647,79.6102372725302
EP55,Ner12R_block_6,2,15,71.3778600686,2,15,0.34092320531623,75.973702657915,76.3146258632312
EZ18,Ner12R_block_6,14,21,75.7721262276,14,21,-0.462286352528636,75.1704931000702,74.7082067475416
F218,Ner12R_block_6,2,20,68.7503943227,2,20,-2.8054913118214,72.8272881407772,70.0217968289558
F354,Ner12R_block_6,14,18,70.1020957105,14,18,-2.18935487600392,73.4434245765947,71.2540697005908
F894,Ner12R_block_6,14,19,78.5924166874,14,19,1.86546331322869,77.4982427658278,79.3637060790565
F924,Ner12R_block_6,26,19,78.5924166874,26,19,-0.107699365173005,75.5250800874257,75.4173807222527
Lo1035,Ner12R_block_6,26,20,83.5272539732,26,20,3.04677658584853,78.6795560384477,81.7263326242963
Lo1203,Ner12R_block_6,26,15,78.5924166874,26,15,-0.137762887302188,75.4950165652966,75.3572536779944
NS701,Ner12R_block_6,14,16,74.2429872652,14,16,-0.654029643686442,74.9787498089124,74.324720165226
Oh43,Ner12R_block_6,2,21,77.1954860675,2,21,1.20378963905296,76.8365690916519,78.0403587307048
Os426,Ner12R_block_6,14,15,77.1954860675,14,15,0.486518557311257,76.1192980099101,76.6058165672214
PHG39,Ner12R_block_6,2,19,78.5924166874,2,19,2.26522134599381,77.8980007985929,80.1632221445867
PHG50,Ner12R_block_6,2,18,74.2429872652,2,18,0.358623272813517,75.9914027254124,76.3500259982259
PHZ51,Ner12R_block_6,14,17,75.7721262276,14,17,0.449805864992854,76.0825853175917,76.5323911825846
UH_P087,Ner12R_block_6,26,16,77.1954860675,26,16,-1.00550472102624,74.6272747315724,73.6217700105462
UH_P089,Ner12R_block_6,26,17,78.5924166874,26,17,-0.474513350054338,75.1582661025444,74.68375275249
11430,Ner12R_block_29,34,12,74.2429872652,34,12,-2.32272511346424,74.5726511977784,72.2499260843141
