Genotype,anthesis.silking.interval,anthesis,ear.height,grain.number,grain.weight,grain.yield,plant.height,silking,tassel.height
EP52,0.490281835632096,1.68059556316168,1.55716685655625,45.0308892738441,12.3623117525508,0.289820395624791,0.268382050676405,0.516460918776679,0.868331840733521
EP55,-0.331448335345866,-0.47111589928907,2.8098333662106,4.96250804988336,-10.1180305636727,-0.147741646385434,-0.17912024041498,-0.346267817366567,2.0134850471081
EP67,-0.24044075387077,-1.11379413486464,-0.704653497319081,3.0393361158247,-5.94359179476925,-0.05199352903332,-7.6903529679237,-1.29491882697772,-7.90418474442946
EP72,-1.0387287400194,0.273758172942289,0.0383644406248459,-21.9403721629413,-26.6291340602059,-0.704445987868733,-5.36005299722557,1.23997030457521,-5.31852158668731
EP77,0.101049861507687,-1.24477572631051,16.9741126515186,-175.831298144153,-13.6561980826356,-0.75917148546188,3.23684425071306,-1.39315261258777,4.62385991369386
EZ11A,-0.235975213888678,0.757458412131726,2.29362467913014,162.982843641655,6.67568487597535,0.647395032849135,4.94571960083761,0.798015720061174,6.92400107170957
EZ18,0.468315817065594,2.74624358809493,3.44925083902868,4.8393687847498,-3.66128928125535,-0.108824481857489,2.57696405396625,2.14936623598071,4.69685596838662
EZ31,-0.850384513099893,0.83086853268522,1.18676642010266,30.5874893304255,-0.00664948003290806,-0.0972606825445205,2.90513547227568,1.54135934624039,4.28088623229819
EZ35,-0.488987912869049,0.263863016578155,0.231509672319484,14.8073821324484,2.49904418213767,0.0154961500893782,0.154649894306362,0.362449744062743,1.37323851132892
EZ36,0.204311437015783,0.947459772720375,1.66972313038892,71.6427513567795,-0.789958345287174,0.204217607862673,0.456138076477116,-0.0233701331384901,-0.943504443730075
EZ37,-0.347213677747581,0.880544387302095,0.914753999815496,86.3557680024172,0.655283649415955,-0.0423625926180479,0.943408493346665,0.71553275022547,2.19656324836186
EZ38,-0.245731056018727,1.61313130831737,4.08183783475206,135.513743766346,7.1492806199602,0.455137604896416,4.91299241288648,1.35252271149032,6.559271980699
EZ40,-0.14000074123435,0.463361005770588,-0.101796611312726,139.651844838427,-11.0363848319062,0.283284608125666,-2.95124153485136,0.476709314777703,-2.88932506496389
EZ42,0.101215536206765,0.174616330145434,0.94297453396846,102.893953243734,-1.99242396992662,0.346528227622541,4.56263386874217,-0.0579671998917517,0.80164492352499
EZ47,0.00573262896940735,-0.00462120407443924,2.95101885367902,-2.4516859073269,-2.69714932469458,-0.078175196285819,1.7162993845834,-0.699162997911544,1.02520761303653
